stationId,longitude,latitude,date,time,depth,temperature,salinity,pH,dissolvedOxygen,chlorophyll,turbidity,conductivity,pressure
STATION_001,75.1234,13.5678,2024-01-15,09:30:00,25.5,28.5,35.2,8.1,6.8,2.1,1.2,54.5,3.2
STATION_002,74.8567,14.2345,2024-01-15,10:15:00,18.2,29.1,34.8,8.0,7.1,1.8,1.5,53.2,2.8
STATION_003,73.2456,12.9876,2024-01-15,11:00:00,45.8,26.8,35.8,8.2,6.2,3.2,0.8,55.8,4.1
STATION_004,72.7890,11.4567,2024-01-15,11:45:00,38.9,27.4,35.5,8.1,6.5,2.8,1.1,54.9,3.7
STATION_005,75.5678,15.1234,2024-01-15,12:30:00,22.3,29.8,34.5,7.9,7.3,1.5,1.8,52.8,2.9
STATION_006,74.9876,13.7890,2024-01-15,13:15:00,15.6,30.2,34.2,7.8,7.5,1.2,2.1,52.1,2.5
STATION_007,75.3456,14.5678,2024-01-15,14:00:00,35.4,27.9,35.6,8.2,6.4,2.5,0.9,55.2,3.5
STATION_008,73.8901,12.3456,2024-01-15,14:45:00,28.7,28.2,35.3,8.1,6.7,2.3,1.3,54.7,3.1
STATION_009,75.6789,13.9012,2024-01-15,15:30:00,42.1,26.5,36.1,8.3,5.9,3.5,0.7,56.2,3.9
STATION_010,74.5678,14.7890,2024-01-15,16:15:00,31.8,28.7,35.4,8.0,6.6,2.0,1.4,54.8,3.3